Snapshot,Size,Count,Average Count
"1016, 13344, 278, 48.00"
"1017, 28728, 597, 48.12"
"1018, 5920, 74, 80.00"
"1019, 1800, 25, 72.00"
"1020, 1472, 14, 105.14"
"1021, 13344, 278, 48.00"
"1022, 28728, 597, 48.12"
"1023, 5920, 74, 80.00"
"1024, 1656, 23, 72.00"
"1025, 1472, 14, 105.14"
"1026, 85656, 847, 101.13"
"1027, 35952, 1310, 27.44"
"1028, 7232, 113, 64.00"
"1029, 3744, 78, 48.00"
"1030, 10440, 216, 48.33"
"1031, 110592, 1335, 82.84"
"1032, 26560, 415, 64.00"
"1033, 55280, 1612, 34.29"
"1034, 5664, 118, 48.00"
"1035, 15480, 317, 48.83"
"1036, 132528, 1792, 73.96"
"1037, 45888, 717, 64.00"
"1038, 74608, 1914, 38.98"
"1039, 7680, 160, 48.00"
"1040, 19752, 410, 48.18"
"1041, 152832, 2215, 69.00"
"1042, 63552, 993, 64.00"
"1043, 92336, 2191, 42.14"
"1044, 9696, 202, 48.00"
"1045, 24512, 509, 48.16"
"1046, 11712, 244, 48.00"
"1047, 29216, 607, 48.13"
"1048, 6080, 76, 80.00"
"1049, 142424, 3484, 40.88"
"1050, 4472, 39, 114.67"
"1051, 11712, 244, 48.00"
"1052, 29160, 606, 48.12"
"1053, 6080, 76, 80.00"
"1054, 4472, 39, 114.67"
"1055, 3168, 44, 72.00"
"1056, 11712, 244, 48.00"
"1057, 29216, 607, 48.13"
"1058, 6080, 76, 80.00"
"1059, 4472, 39, 114.67"
"1060, 3312, 46, 72.00"
"1061, 11712, 244, 48.00"
"1062, 29216, 607, 48.13"
"1063, 6080, 76, 80.00"
"1064, 4472, 39, 114.67"
"1065, 3168, 44, 72.00"
"1066, 11712, 244, 48.00"
"1067, 29160, 606, 48.12"
"1068, 6080, 76, 80.00"
"1069, 4472, 39, 114.67"
"1070, 3312, 46, 72.00"
"1071, 11712, 244, 48.00"
"1072, 29160, 606, 48.12"
"1073, 6080, 76, 80.00"
"1074, 4472, 39, 114.67"
"1075, 3168, 44, 72.00"
"1076, 11712, 244, 48.00"
"1077, 29160, 606, 48.12"
"1078, 6080, 76, 80.00"
"1079, 4472, 39, 114.67"
"1080, 3312, 46, 72.00"
"1081, 11712, 244, 48.00"
"1082, 29160, 606, 48.12"
"1083, 6080, 76, 80.00"
"1084, 4472, 39, 114.67"
"1085, 3168, 44, 72.00"
"1086, 11712, 244, 48.00"
"1087, 29160, 606, 48.12"
"1088, 6080, 76, 80.00"
"1089, 4472, 39, 114.67"
"1090, 3312, 46, 72.00"
"1091, 11712, 244, 48.00"
"1092, 29160, 606, 48.12"
"1093, 6080, 76, 80.00"
"1094, 4472, 39, 114.67"
"1095, 3168, 44, 72.00"
"1096, 11712, 244, 48.00"
"1097, 29160, 606, 48.12"
"1098, 6080, 76, 80.00"
"1099, 4472, 39, 114.67"
"1100, 3312, 46, 72.00"
"1101, 11712, 244, 48.00"
"1102, 29160, 606, 48.12"
"1103, 6080, 76, 80.00"
"1104, 4472, 39, 114.67"
"1105, 3168, 44, 72.00"
"1106, 11712, 244, 48.00"
"1107, 29160, 606, 48.12"
"1108, 6080, 76, 80.00"
"1109, 4472, 39, 114.67"
"1110, 3312, 46, 72.00"
"1111, 11712, 244, 48.00"
"1112, 29160, 606, 48.12"
"1113, 6080, 76, 80.00"
"1114, 4472, 39, 114.67"
"1115, 3168, 44, 72.00"
"1116, 11712, 244, 48.00"
"1117, 29160, 606, 48.12"
"1118, 6080, 76, 80.00"
"1119, 142200, 3480, 40.86"
"1120, 30856, 551, 56.00"
"1121, 11712, 244, 48.00"
"1122, 29160, 606, 48.12"
"1123, 6080, 76, 80.00"
"1124, 142424, 3484, 40.88"
"1125, 30632, 547, 56.00"
"1126, 11712, 244, 48.00"
"1127, 29160, 606, 48.12"
"1128, 6080, 76, 80.00"
"1129, 4472, 39, 114.67"
"1130, 3312, 46, 72.00"
"1131, 11712, 244, 48.00"
"1132, 29160, 606, 48.12"
"1133, 6080, 76, 80.00"
"1134, 4472, 39, 114.67"
"1135, 3168, 44, 72.00"
"1136, 11712, 244, 48.00"
"1137, 29160, 606, 48.12"
"1138, 6080, 76, 80.00"
"1139, 4472, 39, 114.67"
"1140, 3312, 46, 72.00"
"1141, 11712, 244, 48.00"
"1142, 29160, 606, 48.12"
"1143, 6080, 76, 80.00"
"1144, 4472, 39, 114.67"
"1145, 3168, 44, 72.00"
"1146, 11712, 244, 48.00"
"1147, 29160, 606, 48.12"
"1148, 6080, 76, 80.00"
"1149, 4472, 39, 114.67"
"1150, 3312, 46, 72.00"
"1151, 11712, 244, 48.00"
"1152, 29160, 606, 48.12"
"1153, 6080, 76, 80.00"
"1154, 4472, 39, 114.67"
"1155, 3168, 44, 72.00"
"1156, 11712, 244, 48.00"
"1157, 29160, 606, 48.12"
"1158, 6080, 76, 80.00"
"1159, 4472, 39, 114.67"
"1160, 3312, 46, 72.00"
"1161, 48176, 1501, 32.10"
"1162, 19456, 304, 64.00"
"1163, 109272, 1273, 85.84"
"1164, 3792, 79, 48.00"
"1165, 15048, 312, 48.23"
"1166, 131544, 1737, 75.73"
"1167, 38784, 606, 64.00"
"1168, 67504, 1803, 37.44"
"1169, 5616, 117, 48.00"
"1170, 19752, 410, 48.18"
"1171, 153624, 2197, 69.92"
"1172, 58112, 908, 64.00"
"1173, 86832, 2105, 41.25"
"1174, 7488, 156, 48.00"
"1175, 24600, 511, 48.14"
"1176, 63488, 992, 64.00"
"1177, 92272, 2190, 42.13"
"1178, 9360, 195, 48.00"
"1179, 29352, 610, 48.12"
"1180, 150984, 2142, 70.49"
"1181, 11232, 234, 48.00"
"1182, 31416, 653, 48.11"
"1183, 6000, 75, 80.00"
"1184, 3168, 44, 72.00"
"1185, 1472, 14, 105.14"
"1186, 11232, 234, 48.00"
"1187, 31416, 653, 48.11"
"1188, 6000, 75, 80.00"
"1189, 3312, 46, 72.00"
"1190, 1472, 14, 105.14"
"1191, 11232, 234, 48.00"
"1192, 31416, 653, 48.11"
"1193, 6000, 75, 80.00"
"1194, 3168, 44, 72.00"
"1195, 1472, 14, 105.14"
"1196, 11232, 234, 48.00"
"1197, 31416, 653, 48.11"
"1198, 6000, 75, 80.00"
"1199, 3312, 46, 72.00"
"1200, 1472, 14, 105.14"
"1201, 11232, 234, 48.00"
"1202, 31416, 653, 48.11"
"1203, 6000, 75, 80.00"
"1204, 3168, 44, 72.00"
"1205, 1472, 14, 105.14"
"1206, 11232, 234, 48.00"
"1207, 31416, 653, 48.11"
"1208, 6000, 75, 80.00"
"1209, 3312, 46, 72.00"
"1210, 1472, 14, 105.14"
"1211, 11232, 234, 48.00"
"1212, 31416, 653, 48.11"
"1213, 6000, 75, 80.00"
"1214, 3168, 44, 72.00"
"1215, 1472, 14, 105.14"
"1216, 11232, 234, 48.00"
"1217, 31416, 653, 48.11"
"1218, 6000, 75, 80.00"
"1219, 3312, 46, 72.00"
"1220, 1472, 14, 105.14"
"1221, 11232, 234, 48.00"
"1222, 31416, 653, 48.11"
"1223, 6000, 75, 80.00"
"1224, 3168, 44, 72.00"
"1225, 1472, 14, 105.14"
"1226, 11232, 234, 48.00"
"1227, 31416, 653, 48.11"
"1228, 6000, 75, 80.00"
"1229, 3312, 46, 72.00"
"1230, 1472, 14, 105.14"
"1231, 11232, 234, 48.00"
"1232, 31416, 653, 48.11"
"1233, 6000, 75, 80.00"
"1234, 3168, 44, 72.00"
"1235, 1472, 14, 105.14"
"1236, 11232, 234, 48.00"
"1237, 31416, 653, 48.11"
"1238, 6000, 75, 80.00"
"1239, 3312, 46, 72.00"
"1240, 1472, 14, 105.14"
"1241, 11232, 234, 48.00"
"1242, 31416, 653, 48.11"
"1243, 6000, 75, 80.00"
"1244, 3168, 44, 72.00"
"1245, 1472, 14, 105.14"
"1246, 11232, 234, 48.00"
"1247, 31416, 653, 48.11"
"1248, 6000, 75, 80.00"
"1249, 3312, 46, 72.00"
"1250, 1472, 14, 105.14"
"1251, 11232, 234, 48.00"
"1252, 31416, 653, 48.11"
"1253, 6000, 75, 80.00"
"1254, 3168, 44, 72.00"
"1255, 1472, 14, 105.14"
"1256, 11232, 234, 48.00"
"1257, 31416, 653, 48.11"
"1258, 6000, 75, 80.00"
"1259, 3312, 46, 72.00"
"1260, 1472, 14, 105.14"
"1261, 11232, 234, 48.00"
"1262, 31416, 653, 48.11"
"1263, 6000, 75, 80.00"
"1264, 3168, 44, 72.00"
"1265, 1472, 14, 105.14"
"1266, 11232, 234, 48.00"
"1267, 31416, 653, 48.11"
"1268, 6000, 75, 80.00"
"1269, 3312, 46, 72.00"
"1270, 1472, 14, 105.14"
"1271, 11232, 234, 48.00"
"1272, 31416, 653, 48.11"
"1273, 6000, 75, 80.00"
"1274, 3168, 44, 72.00"
"1275, 1472, 14, 105.14"
"1276, 11232, 234, 48.00"
"1277, 31416, 653, 48.11"
"1278, 6000, 75, 80.00"
"1279, 3312, 46, 72.00"
"1280, 1472, 14, 105.14"
"1281, 11232, 234, 48.00"
"1282, 31416, 653, 48.11"
"1283, 6000, 75, 80.00"
"1284, 3168, 44, 72.00"
"1285, 1472, 14, 105.14"
"1286, 11232, 234, 48.00"
"1287, 31416, 653, 48.11"
"1288, 6000, 75, 80.00"
"1289, 3312, 46, 72.00"
"1290, 1472, 14, 105.14"
"1291, 74976, 638, 117.52"
"1292, 29552, 1210, 24.42"
"1293, 832, 13, 64.00"
"1294, 10440, 216, 48.33"
"1295, 3744, 78, 48.00"
"1296, 106152, 1247, 85.13"
"1297, 20160, 315, 64.00"
"1298, 48880, 1512, 32.33"
"1299, 5712, 119, 48.00"
"1300, 11448, 235, 48.71"
"1301, 128064, 1702, 75.24"
"1302, 39488, 617, 64.00"
"1303, 68208, 1814, 37.60"
"1304, 4032, 84, 48.00"
"1305, 19848, 412, 48.17"
"1306, 150144, 2162, 69.45"
"1307, 58816, 919, 64.00"
"1308, 87536, 2116, 41.37"
"1309, 8496, 177, 48.00"
"1310, 22104, 459, 48.16"
"1311, 10320, 215, 48.00"
"1312, 63488, 992, 64.00"
"1313, 27048, 562, 48.13"
"1314, 92272, 2190, 42.13"
"1315, 145776, 2071, 70.39"
"1316, 11904, 248, 48.00"
"1317, 27720, 576, 48.12"
"1318, 6080, 76, 80.00"
"1319, 143472, 2023, 70.92"
"1320, 4592, 40, 114.80"
"1321, 10608, 221, 48.00"
"1322, 29064, 604, 48.12"
"1323, 6080, 76, 80.00"
"1324, 141976, 3476, 40.84"
"1325, 4592, 40, 114.80"
"1326, 12096, 252, 48.00"
"1327, 27624, 574, 48.13"
"1328, 6080, 76, 80.00"
"1329, 4592, 40, 114.80"
"1330, 3312, 46, 72.00"
"1331, 11712, 244, 48.00"
"1332, 27960, 581, 48.12"
"1333, 6080, 76, 80.00"
"1334, 4592, 40, 114.80"
"1335, 3168, 44, 72.00"
"1336, 11952, 249, 48.00"
"1337, 27720, 576, 48.12"
"1338, 6080, 76, 80.00"
"1339, 4592, 40, 114.80"
"1340, 3312, 46, 72.00"
"1341, 10848, 226, 48.00"
"1342, 28872, 600, 48.12"
"1343, 6080, 76, 80.00"
"1344, 141920, 3475, 40.84"
"1345, 4592, 40, 114.80"
"1346, 12000, 250, 48.00"
"1347, 27672, 575, 48.13"
"1348, 6080, 76, 80.00"
"1349, 4592, 40, 114.80"
"1350, 3312, 46, 72.00"
"1351, 11568, 241, 48.00"
"1352, 28008, 582, 48.12"
"1353, 6080, 76, 80.00"
"1354, 142032, 3477, 40.85"
"1355, 4592, 40, 114.80"
"1356, 11616, 242, 48.00"
"1357, 27960, 581, 48.12"
"1358, 6080, 76, 80.00"
"1359, 141864, 3474, 40.84"
"1360, 4592, 40, 114.80"
"1361, 10992, 229, 48.00"
"1362, 28728, 597, 48.12"
"1363, 6080, 76, 80.00"
"1364, 4592, 40, 114.80"
"1365, 3168, 44, 72.00"
"1366, 11952, 249, 48.00"
"1367, 27776, 577, 48.14"
"1368, 6080, 76, 80.00"
"1369, 4592, 40, 114.80"
"1370, 3312, 46, 72.00"
"1371, 11664, 243, 48.00"
"1372, 28064, 583, 48.14"
"1373, 6080, 76, 80.00"
"1374, 4592, 40, 114.80"
"1375, 3168, 44, 72.00"
"1376, 11712, 244, 48.00"
"1377, 27960, 581, 48.12"
"1378, 6080, 76, 80.00"
"1379, 4592, 40, 114.80"
"1380, 3312, 46, 72.00"
"1381, 11184, 233, 48.00"
"1382, 28536, 593, 48.12"
"1383, 6080, 76, 80.00"
"1384, 30576, 546, 56.00"
"1385, 4592, 40, 114.80"
"1386, 11856, 247, 48.00"
"1387, 27912, 580, 48.12"
"1388, 6080, 76, 80.00"
"1389, 4592, 40, 114.80"
"1390, 3312, 46, 72.00"
"1391, 11712, 244, 48.00"
"1392, 28152, 585, 48.12"
"1393, 6080, 76, 80.00"
"1394, 4592, 40, 114.80"
"1395, 3168, 44, 72.00"
"1396, 11808, 246, 48.00"
"1397, 28008, 582, 48.12"
"1398, 6080, 76, 80.00"
"1399, 4592, 40, 114.80"
"1400, 3312, 46, 72.00"
"1401, 11040, 230, 48.00"
"1402, 28784, 598, 48.13"
"1403, 6080, 76, 80.00"
"1404, 4592, 40, 114.80"
"1405, 3168, 44, 72.00"
"1406, 11808, 246, 48.00"
"1407, 28064, 583, 48.14"
"1408, 6080, 76, 80.00"
"1409, 4592, 40, 114.80"
"1410, 3312, 46, 72.00"
"1411, 11760, 245, 48.00"
"1412, 28008, 582, 48.12"
"1413, 6080, 76, 80.00"
"1414, 4592, 40, 114.80"
"1415, 3168, 44, 72.00"
"1416, 11712, 244, 48.00"
"1417, 28104, 584, 48.12"
"1418, 6080, 76, 80.00"
"1419, 4592, 40, 114.80"
"1420, 3312, 46, 72.00"
"1421, 11136, 232, 48.00"
"1422, 28680, 596, 48.12"
"1423, 6080, 76, 80.00"
"1424, 4592, 40, 114.80"
"1425, 3168, 44, 72.00"
"1426, 41968, 1404, 29.89"
"1427, 13248, 207, 64.00"
"1428, 98160, 1064, 92.26"
"1429, 8904, 184, 48.39"
"1430, 3552, 74, 48.00"
"1431, 121920, 1544, 78.96"
"1432, 32576, 509, 64.00"
"1433, 61296, 1706, 35.93"
"1434, 5232, 109, 48.00"
"1435, 14040, 287, 48.92"
"1436, 143904, 2002, 71.88"
"1437, 51904, 811, 64.00"
"1438, 80624, 2008, 40.15"
"1439, 7248, 151, 48.00"
"1440, 18264, 379, 48.19"
"1441, 155184, 2237, 69.37"
"1442, 63552, 993, 64.00"
"1443, 92336, 2191, 42.14"
"1444, 9168, 191, 48.00"
"1445, 22872, 475, 48.15"
"1446, 11136, 232, 48.00"
"1447, 27528, 572, 48.13"
"1448, 6000, 75, 80.00"
"1449, 142200, 3480, 40.86"
"1450, 3312, 46, 72.00"
"1451, 11184, 233, 48.00"
"1452, 27528, 572, 48.13"
"1453, 6000, 75, 80.00"
"1454, 3168, 44, 72.00"
"1455, 2432, 22, 110.55"
"1456, 11184, 233, 48.00"
"1457, 27528, 572, 48.13"
"1458, 6000, 75, 80.00"
"1459, 3312, 46, 72.00"
"1460, 2432, 22, 110.55"
"1461, 11184, 233, 48.00"
"1462, 27528, 572, 48.13"
"1463, 6000, 75, 80.00"
"1464, 3168, 44, 72.00"
"1465, 2432, 22, 110.55"
"1466, 11184, 233, 48.00"
"1467, 27528, 572, 48.13"
"1468, 6000, 75, 80.00"
"1469, 3312, 46, 72.00"
"1470, 2432, 22, 110.55"
"1471, 11184, 233, 48.00"
"1472, 27528, 572, 48.13"
"1473, 6000, 75, 80.00"
"1474, 3168, 44, 72.00"
"1475, 2432, 22, 110.55"
"1476, 11184, 233, 48.00"
"1477, 27528, 572, 48.13"
"1478, 6000, 75, 80.00"
"1479, 3312, 46, 72.00"
"1480, 2432, 22, 110.55"
"1481, 11184, 233, 48.00"
"1482, 27528, 572, 48.13"
"1483, 6000, 75, 80.00"
"1484, 3168, 44, 72.00"
"1485, 2432, 22, 110.55"
"1486, 11184, 233, 48.00"
"1487, 27528, 572, 48.13"
"1488, 6000, 75, 80.00"
"1489, 3312, 46, 72.00"
"1490, 2432, 22, 110.55"
"1491, 11184, 233, 48.00"
"1492, 27528, 572, 48.13"
"1493, 6000, 75, 80.00"
"1494, 3168, 44, 72.00"
"1495, 2432, 22, 110.55"
"1496, 11184, 233, 48.00"
"1497, 27528, 572, 48.13"
"1498, 6000, 75, 80.00"
"1499, 3312, 46, 72.00"
"1500, 2432, 22, 110.55"
"1501, 11184, 233, 48.00"
"1502, 27528, 572, 48.13"
"1503, 6000, 75, 80.00"
"1504, 3168, 44, 72.00"
"1505, 2432, 22, 110.55"
"1506, 11184, 233, 48.00"
"1507, 27528, 572, 48.13"
"1508, 6000, 75, 80.00"
"1509, 3312, 46, 72.00"
"1510, 2432, 22, 110.55"
"1511, 11184, 233, 48.00"
"1512, 27528, 572, 48.13"
"1513, 6000, 75, 80.00"
"1514, 3168, 44, 72.00"
"1515, 2432, 22, 110.55"
"1516, 11184, 233, 48.00"
"1517, 27528, 572, 48.13"
"1518, 6000, 75, 80.00"
"1519, 3312, 46, 72.00"
"1520, 2432, 22, 110.55"
"1521, 11184, 233, 48.00"
"1522, 27528, 572, 48.13"
"1523, 6000, 75, 80.00"
"1524, 3168, 44, 72.00"
"1525, 2432, 22, 110.55"
"1526, 11184, 233, 48.00"
"1527, 27528, 572, 48.13"
"1528, 6000, 75, 80.00"
"1529, 3312, 46, 72.00"
"1530, 2432, 22, 110.55"
"1531, 11184, 233, 48.00"
"1532, 27528, 572, 48.13"
"1533, 6000, 75, 80.00"
"1534, 3168, 44, 72.00"
"1535, 2432, 22, 110.55"
"1536, 11184, 233, 48.00"
"1537, 27528, 572, 48.13"
"1538, 6000, 75, 80.00"
"1539, 3312, 46, 72.00"
"1540, 2432, 22, 110.55"
"1541, 11184, 233, 48.00"
"1542, 27528, 572, 48.13"
"1543, 6000, 75, 80.00"
"1544, 3168, 44, 72.00"
"1545, 2432, 22, 110.55"
"1546, 11184, 233, 48.00"
"1547, 27528, 572, 48.13"
"1548, 6000, 75, 80.00"
"1549, 3312, 46, 72.00"
"1550, 2432, 22, 110.55"
"1551, 11184, 233, 48.00"
"1552, 27528, 572, 48.13"
"1553, 6000, 75, 80.00"
"1554, 3168, 44, 72.00"
"1555, 2432, 22, 110.55"
"1556, 11184, 233, 48.00"
"1557, 27528, 572, 48.13"
"1558, 6000, 75, 80.00"
"1559, 3312, 46, 72.00"
"1560, 2432, 22, 110.55"
"1561, 109272, 1273, 85.84"
"1562, 19456, 304, 64.00"
"1563, 48176, 1501, 32.10"
"1564, 6432, 134, 48.00"
"1565, 14184, 294, 48.24"
"1566, 131928, 1745, 75.60"
"1567, 38784, 606, 64.00"
"1568, 67504, 1803, 37.44"
"1569, 7728, 161, 48.00"
"1570, 19032, 395, 48.18"
"1571, 154104, 2207, 69.83"
"1572, 58112, 908, 64.00"
"1573, 86832, 2105, 41.25"
"1574, 9600, 200, 48.00"
"1575, 23784, 494, 48.15"
"1576, 63488, 992, 64.00"
"1577, 92272, 2190, 42.13"
"1578, 11472, 239, 48.00"
"1579, 28536, 593, 48.12"
"1580, 149592, 2113, 70.80"
"1581, 13344, 278, 48.00"
"1582, 28728, 597, 48.12"
"1583, 5920, 74, 80.00"
"1584, 3168, 44, 72.00"
"1585, 1472, 14, 105.14"
"1586, 13344, 278, 48.00"
"1587, 28728, 597, 48.12"
"1588, 5920, 74, 80.00"
"1589, 3312, 46, 72.00"
"1590, 1472, 14, 105.14"
"1591, 13344, 278, 48.00"
"1592, 28728, 597, 48.12"
"1593, 5920, 74, 80.00"
"1594, 3168, 44, 72.00"
"1595, 1472, 14, 105.14"
"1596, 13344, 278, 48.00"
"1597, 28728, 597, 48.12"
"1598, 6000, 75, 80.00"
"1599, 147480, 2069, 71.28"
"1600, 3312, 46, 72.00"
"1601, 13440, 280, 48.00"
"1602, 28776, 598, 48.12"
"1603, 6000, 75, 80.00"
"1604, 3168, 44, 72.00"
"1605, 1472, 14, 105.14"
"1606, 13440, 280, 48.00"
"1607, 28776, 598, 48.12"
"1608, 6000, 75, 80.00"
"1609, 3312, 46, 72.00"
"1610, 1472, 14, 105.14"
"1611, 13440, 280, 48.00"
"1612, 28776, 598, 48.12"
"1613, 6000, 75, 80.00"
"1614, 30632, 547, 56.00"
"1615, 3168, 44, 72.00"
"1616, 13440, 280, 48.00"
"1617, 28632, 595, 48.12"
"1618, 6000, 75, 80.00"
"1619, 3312, 46, 72.00"
"1620, 1472, 14, 105.14"
"1621, 13392, 279, 48.00"
"1622, 28536, 593, 48.12"
"1623, 6000, 75, 80.00"
"1624, 3168, 44, 72.00"
"1625, 1472, 14, 105.14"
"1626, 13296, 277, 48.00"
"1627, 28536, 593, 48.12"
"1628, 6000, 75, 80.00"
"1629, 3312, 46, 72.00"
"1630, 1472, 14, 105.14"
"1631, 13248, 276, 48.00"
"1632, 28584, 594, 48.12"
"1633, 6000, 75, 80.00"
"1634, 3168, 44, 72.00"
"1635, 1472, 14, 105.14"
"1636, 13296, 277, 48.00"
"1637, 28632, 595, 48.12"
"1638, 6000, 75, 80.00"
"1639, 3312, 46, 72.00"
"1640, 1472, 14, 105.14"
"1641, 13344, 278, 48.00"
"1642, 28632, 595, 48.12"
"1643, 6000, 75, 80.00"
"1644, 30856, 551, 56.00"
"1645, 3168, 44, 72.00"
"1646, 13344, 278, 48.00"
"1647, 28632, 595, 48.12"
"1648, 6000, 75, 80.00"
"1649, 142144, 3479, 40.86"
"1650, 30688, 548, 56.00"
"1651, 13344, 278, 48.00"
"1652, 28632, 595, 48.12"
"1653, 6000, 75, 80.00"
"1654, 3168, 44, 72.00"
"1655, 1472, 14, 105.14"
"1656, 13344, 278, 48.00"
"1657, 28632, 595, 48.12"
"1658, 6000, 75, 80.00"
"1659, 3312, 46, 72.00"
"1660, 1472, 14, 105.14"
"1661, 13344, 278, 48.00"
"1662, 28632, 595, 48.12"
"1663, 6000, 75, 80.00"
"1664, 3168, 44, 72.00"
"1665, 1472, 14, 105.14"
"1666, 13344, 278, 48.00"
"1667, 28632, 595, 48.12"
"1668, 6000, 75, 80.00"
"1669, 3312, 46, 72.00"
"1670, 1472, 14, 105.14"
"1671, 13344, 278, 48.00"
"1672, 28632, 595, 48.12"
"1673, 6000, 75, 80.00"
"1674, 3168, 44, 72.00"
"1675, 1472, 14, 105.14"
"1676, 13344, 278, 48.00"
"1677, 28632, 595, 48.12"
"1678, 6000, 75, 80.00"
"1679, 3312, 46, 72.00"
"1680, 1472, 14, 105.14"
"1681, 13344, 278, 48.00"
"1682, 28632, 595, 48.12"
"1683, 6000, 75, 80.00"
"1684, 3168, 44, 72.00"
"1685, 1472, 14, 105.14"
"1686, 13344, 278, 48.00"
"1687, 28632, 595, 48.12"
"1688, 6000, 75, 80.00"
"1689, 3312, 46, 72.00"
"1690, 1472, 14, 105.14"
"1691, 85656, 847, 101.13"
"1692, 35952, 1310, 27.44"
"1693, 7232, 113, 64.00"
"1694, 3744, 78, 48.00"
"1695, 10440, 216, 48.33"
"1696, 110592, 1335, 82.84"
"1697, 26560, 415, 64.00"
"1698, 55280, 1612, 34.29"
"1699, 5664, 118, 48.00"
"1700, 15480, 317, 48.83"
"1701, 132528, 1792, 73.96"
"1702, 45888, 717, 64.00"
"1703, 74608, 1914, 38.98"
"1704, 7680, 160, 48.00"
"1705, 19752, 410, 48.18"
"1706, 152832, 2215, 69.00"
"1707, 63552, 993, 64.00"
"1708, 92336, 2191, 42.14"
"1709, 9696, 202, 48.00"
"1710, 24456, 508, 48.14"
"1711, 11712, 244, 48.00"
"1712, 29256, 608, 48.12"
"1713, 6080, 76, 80.00"
"1714, 142200, 3480, 40.86"
"1715, 145968, 2072, 70.45"
"1716, 11808, 246, 48.00"
"1717, 29304, 609, 48.12"
"1718, 6080, 76, 80.00"
"1719, 4472, 39, 114.67"
"1720, 3312, 46, 72.00"
"1721, 11808, 246, 48.00"
"1722, 29304, 609, 48.12"
"1723, 6080, 76, 80.00"
"1724, 4472, 39, 114.67"
"1725, 3168, 44, 72.00"
"1726, 11808, 246, 48.00"
"1727, 29304, 609, 48.12"
"1728, 6080, 76, 80.00"
"1729, 4472, 39, 114.67"
"1730, 3312, 46, 72.00"
"1731, 11808, 246, 48.00"
"1732, 29160, 606, 48.12"
"1733, 6080, 76, 80.00"
"1734, 4472, 39, 114.67"
"1735, 3168, 44, 72.00"
"1736, 11760, 245, 48.00"
"1737, 29064, 604, 48.12"
"1738, 6080, 76, 80.00"
"1739, 141920, 3475, 40.84"
"1740, 4472, 39, 114.67"
"1741, 11664, 243, 48.00"
"1742, 29064, 604, 48.12"
"1743, 6080, 76, 80.00"
"1744, 142088, 3478, 40.85"
"1745, 4472, 39, 114.67"
"1746, 11616, 242, 48.00"
"1747, 29112, 605, 48.12"
"1748, 6080, 76, 80.00"
"1749, 4472, 39, 114.67"
"1750, 3312, 46, 72.00"
"1751, 11664, 243, 48.00"
"1752, 29160, 606, 48.12"
"1753, 6080, 76, 80.00"
"1754, 4472, 39, 114.67"
"1755, 3168, 44, 72.00"
"1756, 11712, 244, 48.00"
"1757, 29160, 606, 48.12"
"1758, 6080, 76, 80.00"
"1759, 4472, 39, 114.67"
"1760, 3312, 46, 72.00"
"1761, 11712, 244, 48.00"
"1762, 29160, 606, 48.12"
"1763, 6080, 76, 80.00"
"1764, 4472, 39, 114.67"
"1765, 3168, 44, 72.00"
"1766, 11712, 244, 48.00"
"1767, 29160, 606, 48.12"
"1768, 6080, 76, 80.00"
"1769, 4472, 39, 114.67"
"1770, 3312, 46, 72.00"
"1771, 11712, 244, 48.00"
"1772, 29160, 606, 48.12"
"1773, 6080, 76, 80.00"
"1774, 4472, 39, 114.67"
"1775, 3168, 44, 72.00"
"1776, 11712, 244, 48.00"
"1777, 29160, 606, 48.12"
"1778, 6080, 76, 80.00"
"1779, 4472, 39, 114.67"
"1780, 3312, 46, 72.00"
"1781, 11712, 244, 48.00"
"1782, 29160, 606, 48.12"
"1783, 6080, 76, 80.00"
"1784, 4472, 39, 114.67"
"1785, 3168, 44, 72.00"
"1786, 11712, 244, 48.00"
"1787, 29160, 606, 48.12"
"1788, 6080, 76, 80.00"
"1789, 4472, 39, 114.67"
"1790, 3312, 46, 72.00"
"1791, 11712, 244, 48.00"
"1792, 29160, 606, 48.12"
"1793, 6080, 76, 80.00"
"1794, 4472, 39, 114.67"
"1795, 3168, 44, 72.00"
"1796, 11712, 244, 48.00"
"1797, 29160, 606, 48.12"
"1798, 6080, 76, 80.00"
"1799, 4472, 39, 114.67"
"1800, 3312, 46, 72.00"
"1801, 11712, 244, 48.00"
"1802, 29160, 606, 48.12"
"1803, 6080, 76, 80.00"
"1804, 4472, 39, 114.67"
"1805, 3168, 44, 72.00"
"1806, 11712, 244, 48.00"
"1807, 29160, 606, 48.12"
"1808, 6080, 76, 80.00"
"1809, 4472, 39, 114.67"
"1810, 3312, 46, 72.00"
"1811, 11712, 244, 48.00"
"1812, 29160, 606, 48.12"
"1813, 6080, 76, 80.00"
"1814, 4472, 39, 114.67"
"1815, 3168, 44, 72.00"
"1816, 11712, 244, 48.00"
"1817, 29160, 606, 48.12"
"1818, 6080, 76, 80.00"
"1819, 4472, 39, 114.67"
"1820, 3312, 46, 72.00"
"1821, 11712, 244, 48.00"
"1822, 29160, 606, 48.12"
"1823, 6080, 76, 80.00"
"1824, 142200, 3480, 40.86"
"1825, 4472, 39, 114.67"
"1826, 48176, 1501, 32.10"
"1827, 19456, 304, 64.00"
"1828, 109272, 1273, 85.84"
"1829, 3792, 79, 48.00"
"1830, 15104, 313, 48.26"
"1831, 131544, 1737, 75.73"
"1832, 38784, 606, 64.00"
"1833, 67504, 1803, 37.44"
