Snapshot,Size,Count,Average Count
"198, 52736, 478, 110.33"
"199, 53368, 1328, 40.19"
"200, 5360, 67, 80.00"
"201, 35184, 733, 48.00"
"202, 60792, 1265, 48.06"
"203, 55040, 490, 112.33"
"204, 54968, 1366, 40.24"
"205, 5360, 67, 80.00"
"206, 35136, 732, 48.00"
"207, 60648, 1262, 48.06"
"208, 57392, 502, 114.33"
"209, 56624, 1405, 40.30"
"210, 5280, 66, 80.00"
"211, 35088, 731, 48.00"
"212, 60744, 1264, 48.06"
"213, 59792, 514, 116.33"
"214, 57832, 1436, 40.27"
"215, 32832, 285, 115.20"
"216, 35136, 732, 48.00"
"217, 60792, 1265, 48.06"
"218, 62240, 526, 118.33"
"219, 59376, 1473, 40.31"
"220, 33504, 290, 115.53"
"221, 35184, 733, 48.00"
"222, 60792, 1265, 48.06"
"223, 64736, 538, 120.33"
"224, 60976, 1511, 40.35"
"225, 5360, 67, 80.00"
"226, 35184, 733, 48.00"
"227, 60792, 1265, 48.06"
"228, 67280, 550, 122.33"
"229, 62744, 1552, 40.43"
"230, 5360, 67, 80.00"
"231, 35184, 733, 48.00"
"232, 60792, 1265, 48.06"
"233, 69872, 562, 124.33"
"234, 64120, 1586, 40.43"
"235, 5360, 67, 80.00"
"236, 35184, 733, 48.00"
"237, 60792, 1265, 48.06"
"238, 72512, 574, 126.33"
"239, 65720, 1624, 40.47"
"240, 5360, 67, 80.00"
"241, 35232, 734, 48.00"
"242, 60696, 1263, 48.06"
"243, 75200, 586, 128.33"
"244, 67096, 1658, 40.47"
"245, 5360, 67, 80.00"
"246, 35184, 733, 48.00"
"247, 60600, 1261, 48.06"
"248, 77936, 598, 130.33"
"249, 68528, 1693, 40.48"
"250, 5280, 66, 80.00"
"251, 35088, 731, 48.00"
"252, 60600, 1261, 48.06"
"253, 80720, 610, 132.33"
"254, 70072, 1730, 40.50"
"255, 5200, 65, 80.00"
"256, 35040, 730, 48.00"
"257, 60648, 1262, 48.06"
